id,name,longitude,latitude,Score_Population_Density,Score_Footfall,Score_Transit,Score_Traffic,Score_Rent_Value,Score_Parking,Score_Night_Activity,Score_Walkability,Score_Safety,Score_POI_Synergy
94,Jaitpur,77.32899625,28.50874981,95,66.33241331,93.51687704,66,68.51052796,51.94622512,79.66771268,80.29859471,46.80841433,79.06244051
7,Kalyan Vihar,77.19709384,28.69005188,95,85.53231863,95,84,22.91662579,47.65088685,76.52264204,71.3126661,57.74399091,75.56393557
100,Vayusenabad,77.24615046,28.51480564,95,67.55278366,91.33562341,78,64.34449875,47.19856276,76.87288255,71.42043473,47.58146414,79.48542636
200,Gharoli,77.33514038,28.61485832,95,65.50962907,92.58238191,72,56.59889545,58.03291248,79.09923229,81.64467881,46.41443756,77.1560949
59,Sonia Vihar,77.24704298,28.72556666,95,85.24404634,91.93893146,84,21.5954468,52.6126904,63.63830309,76.4132096,55.71424541,76.93229473
304,Shalimar Bagh,77.15663134,28.71465593,95,80.34914576,95,84,61.3560738,54.92358196,50.02347658,64.35104727,52.69815091,65.19144868
107,Sainik Farm,77.20838102,28.50619364,95,63.37155828,86.5634785,78,58.56314987,56.63558237,69.10086016,75.82814772,45.22669023,81.68894163
63,Sabhapur,77.24197625,28.7525494,95,77.96513718,92.17210926,59.27917067,60.05343688,58.53487366,59.85170157,73.51092075,52.85800674,70.19224571
303,Bhalswa,77.16276774,28.75296938,95,76.3671007,95,52.78288274,67.33921478,56.31084302,62.31797424,69.31165666,54.50600197,66.69728429
15,Dilshad Garden,77.3164633,28.68598311,95,82.4460586,84.90208721,61.96139032,69.7999389,69.14566731,53.76449992,67.20049873,46.51164365,60.478455
331,Sector 14,77.13295574,28.71205795,95,69.12273432,92.60016786,84,56.92591434,56.32541779,60.85959583,62.70379086,55.34224308,73.86093435
121,Saket,77.20365285,28.52486388,95,66.4331564,85.16595917,78,58.87200149,49.70087596,75.57309518,72.73916453,46.69423261,82.21419223
9,Sector 13,77.13286198,28.72255642,95,69.68201687,92.13093464,78,67.90183596,51.73602626,64.58007994,57.10910236,54.92700591,71.64219385
329,Shakurpur,77.14188921,28.68668053,95,63.05568786,93.33807553,84,65.38654227,61.97054679,59.18860203,66.15579602,53.00922193,67.11231831
230,Sector 18,77.13565889,28.74068797,95,68.28473794,94.33009788,78,60.59877687,56.10534847,62.43930199,61.26092101,55.39963155,73.25415664
16,Mandoli,77.3160603,28.70791373,95,81.86730201,84.42524333,59.87677752,57.13743314,70.04964573,62.75924087,64.46704193,46.75058854,59.99965557
220,Sector 4,77.09859565,28.71143939,95,62.02722076,88.04783393,78,63.16733647,56.81048454,62.83544141,66.28156833,50.98643317,70.5733717
148,Shakur Basti,77.11776799,28.68118013,95,60.67650596,90.28841848,84,58.08761815,60.27380784,52.62322156,65.95376052,57.76895395,71.61684288
295,Sector 16,77.12324589,28.73731363,95,64.92476192,91.56794445,78,64.16471483,61.85088938,56.32742268,62.45842964,54.85357715,66.56206569
378,Jawaharlal Nehru University,77.16627881,28.53957734,95,66.4015331,84.84452087,78,68.90501452,64.34109982,51.07567833,66.62385058,50.15461759,73.64658922
333,Sector 23,77.07992784,28.72150037,95,65.65891426,85.17055704,78,65.86508226,63.93222641,63.53679961,57.88964666,53.01456372,72.37426086
14,Saboli,77.30174548,28.70506886,95,77.72642832,85.29930779,63.1794498,58.63067524,67.49943759,53.37975395,71.7597352,44.34187236,60.31349957
228,Sanjay Gandhi Transport Nagar,77.14937995,28.73822376,95,64.37123833,95,78,61.73040434,61.72013594,63.64440229,47.08726539,57.58932949,74.00960896
124,Sagar Pur,77.09983924,28.60363256,95,68.21677407,83.79885183,78,66.60209689,55.56832633,57.41318671,66.95641711,54.34758972,73.77350453
